Shot number,Date,Classification,Club type,Club name,Carry,Total,Offline,Offline carry,Shot angle,Peak height,Hang time,Club speed,Ball speed,Smash factor,Push/pull,Launch angle,Landing angle,Backspin,Sidespin,Curve,Curve factor,Angle of attack,Face to target,Club path,Face to path,Face impact X,Face impact Y,Strokes gained,Club score,Target score,Launch score,Direction score,Shape score,Total score
,,,,,[yds],[yds],[yds],[yds],[°],[yds],[seconds],[mph],[mph],,[°],[°],[°],[rpm],[rpm],[yds],,[°],[°],[°],[°],[mm],[mm],,,,,,,
20,2026-08-18T22:30:24.000Z,Push Slice,Sand Wedge,Default,107.1,119.5,21.0,17.8,15.1,12.8,3.9,71.8,89.1,1.2,3.95 R,16.5,31.3,5371,1875 R,10.4,48.0,-4.8,5.35° open,3.59° out-to-in,8.94° open,,,-0.6,5.8,1.6,1.2,0,0,8.6
21,2026-08-18T22:30:24.000Z,Straight Fade,Sand Wedge,Default,73.5,73.9,2.6,2.5,3.4,24.7,4.6,73.1,66.2,0.9,0.56 R,45.0,55.0,4854,625 R,1.8,12.0,-2.4,1.69° open,4.9° out-to-in,6.59° open,,,-0.0,4.6,4.5,0.1,10,6,25.2
22,2026-08-18T22:30:24.000Z,Huge Push,Sand Wedge,Default,72.7,73.3,12.2,12.1,9.9,26.3,4.6,78.1,66.2,0.8,9.15 R,50.3,57.4,2349,0,0.4,3.0,-0.8,10.06° open,1.22° in-to-out,8.84° open,,,-0.1,4.2,2.5,0,3.8,0,10.4
23,2026-08-18T22:30:24.000Z,Huge Hook,9 Iron,Default,115.4,164.1,37.1,23.0,-16.7,5.1,2.9,80.5,112.5,1.4,6.24 L,5.0,14.3,3315,10000 L,10.4,45.0,-5.1,13.44° closed,1.14° out-to-in,12.3° closed,,,-0.5,6.9,0,0.8,0,0,7.7
24,2026-08-18T22:30:24.000Z,Huge Push,9 Iron,Default,130.1,135.0,23.2,22.3,10.2,21.3,4.9,74.1,97.9,1.3,9.39 R,19.8,40.1,5444,625 R,0.8,3.0,-2.7,8.74° open,4.17° in-to-out,4.57° open,,,-0.1,3.6,2.8,6.9,0,0,13.3
25,2026-08-18T22:30:24.000Z,Push,9 Iron,Default,124.0,125.3,8.8,8.7,4.2,32.1,5.6,78.6,93.2,1.2,3.78 R,31.7,49.5,5203,313 R,0.5,2.0,-2.2,3.49° open,1.22° in-to-out,2.27° open,,,0.4,9.2,1.2,2.7,5.3,3,21.4
26,2026-08-18T22:30:24.000Z,Push,9 Iron,Default,135.3,137.0,7.8,7.7,4.3,31.9,5.7,78.8,100.4,1.3,2.28 R,27.1,47.9,6679,625 R,2.3,9.0,-0.9,2.25° open,0.84° out-to-in,3.09° open,,,1.1,8.6,8.7,7.5,3.8,3,31.6
27,2026-08-18T22:30:24.000Z,Huge Push Draw,9 Iron,Default,117.0,119.9,9.4,9.4,1.1,20.7,4.6,70.1,90.7,1.3,7.99 R,23.2,41.0,5665,625 L,7.1,30.0,-1.4,6.59° open,8.26° in-to-out,1.67° closed,,,0.2,3.2,0,6.7,0.6,0,10.5
28,2026-08-18T22:30:24.000Z,Push,9 Iron,Default,140.5,151.3,8.4,7.5,4.5,17.0,4.7,79.6,107.0,1.3,1.61 R,12.8,34.6,5381,313 R,3.6,13.0,-5.2,1.36° open,0.58° out-to-in,1.94° open,,,0.5,9.8,9.8,4.6,6.1,3,33.2
29,2026-08-18T22:30:24.000Z,Huge Push Slice,9 Iron,Default,123.6,169.2,56.2,37.8,23.8,4.3,3.1,85.0,118.8,1.4,11.38 R,2.1,13.4,4796,10000 R,12.9,52.0,-5.7,15.33° open,0.04° in-to-out,15.29° open,,,-0.7,5.9,0,0.9,0,0,6.8
